Type,Latitude,Longitude,Message,small_area,big_area,weather_forecast_type,weather_forecast,datetime_ios
Heavy Traffic,1.3466581514098244,103.85942531181745,(6/7)6:48 Heavy Traffic on CTE (towards AYE) at Braddell Rd Exit.,Serangoon,East,Rain,Light Rain,2022-07-06T06:48:00
Heavy Traffic,1.3320506879943224,103.76478390436027,(6/7)7:05 Heavy Traffic on PIE (towards Tuas) at Clementi Ave 6 Exit.,Clementi,West,Rain,Light Rain,2022-07-06T07:05:00
Heavy Traffic,1.4038276417835378,103.77322143617535,(6/7)7:13 Heavy Traffic on BKE (towards PIE) after Mandai Rd Exit.,Sungei Kadut,North,Rain,Light Rain,2022-07-06T07:13:00
Heavy Traffic,1.3240354397998964,103.74373982272562,(6/7)7:12 Heavy Traffic on AYE (towards MCE) at Jurong Town Hall Rd Exit.,Jurong East,West,Rain,Light Rain,2022-07-06T07:12:00
Heavy Traffic,1.422446755629945,103.77313279685936,(6/7)7:14 Heavy Traffic on SLE (towards BKE) at BKE(PIE) Exit.,Woodlands,North,Rain,Light Rain,2022-07-06T07:14:00
Heavy Traffic,1.3591256789908701,103.90305840178598,(6/7)7:30 Heavy Traffic on KPE (towards ECP) between Buangkok Dr Exit and Tampines Rd Exit.,Paya Lebar,East,Rain,Light Rain,2022-07-06T07:30:00
Heavy Traffic,1.3591256789908701,103.90305840178598,(6/7)7:37 Heavy Traffic on KPE (towards ECP) between Buangkok Dr Exit and Tampines Rd Exit.,Paya Lebar,East,Cloudy,Cloudy,2022-07-06T07:37:00
Heavy Traffic,1.3563803638552943,103.69930980645766,(6/7)7:42 Heavy Traffic on PIE (towards Tuas) at Jalan Bahar Exit.,Jurong West,West,Cloudy,Cloudy,2022-07-06T07:42:00
Heavy Traffic,1.380655932501481,103.73502824498394,(6/7)7:40 Heavy Traffic on KJE (towards PIE) at Sungei Tengah Rd Exit.,Choa Chu Kang,West,Cloudy,Cloudy,2022-07-06T07:40:00
Heavy Traffic,1.3629298651822639,103.78009506799215,(6/7)7:46 Heavy Traffic on BKE (towards PIE) between KJE Exit and Dairy Farm Rd Exit.,Bukit Panjang,West,Cloudy,Cloudy,2022-07-06T07:46:00
Heavy Traffic,1.3251396286523096,103.6652416925709,(6/7)7:52 Heavy Traffic on PIE (towards Tuas) at AYE Exit.,Pioneer,West,Cloudy,Cloudy,2022-07-06T07:52:00
Heavy Traffic,1.3240565920003826,103.74371611815151,(6/7)7:51 Heavy Traffic on AYE (towards MCE) at Jurong Town Hall Rd Exit.,Jurong East,West,Cloudy,Cloudy,2022-07-06T07:51:00
Heavy Traffic,1.4216791651810246,103.79596168600203,(6/7)7:49 Heavy Traffic on SLE (towards BKE) at Woodlands Ave 12 Exit.,Woodlands,North,Cloudy,Cloudy,2022-07-06T07:49:00
Heavy Traffic,1.3547149088612638,103.9637368562704,(6/7)7:56 Heavy Traffic on TPE (towards PIE) at Upper Changi Rd North Exit.,Pasir Ris,East,Cloudy,Cloudy,2022-07-06T07:56:00
Heavy Traffic,1.3588900369612233,103.96162753011302,(6/7)7:55 Heavy Traffic on TPE (towards SLE) at Tampines Ave 7 Exit.,Pasir Ris,East,Cloudy,Cloudy,2022-07-06T07:55:00
Heavy Traffic,1.3342062265546322,103.67629355846563,(6/7)7:54 Heavy Traffic on PIE (towards Tuas) at Upper Jurong Rd Exit.,Jalan Bahar,West,Cloudy,Cloudy,2022-07-06T07:54:00
Heavy Traffic,1.3662168194954447,103.95048729605263,(6/7)7:57 Heavy Traffic on TPE (towards PIE) between Punggol Rd Exit and Pasir Ris Dr 8 Exit.,Pasir Ris,East,Cloudy,Cloudy,2022-07-06T07:57:00
Heavy Traffic,1.3206117149923444,103.8810902893524,(6/7)8:21 Heavy Traffic on PIE (towards Tuas) between Bedok North Avenue 3 exit and KPE Exit.,Geylang,East,Cloudy,Cloudy,2022-07-06T08:21:00
Heavy Traffic,1.2905993393793465,103.84301393405529,(6/7)8:50 Heavy Traffic in CTE Tunnel (towards AYE) at Havelock Road Exit.,City,Central,Cloudy,Cloudy,2022-07-06T08:50:00
Heavy Traffic,1.3572352831402201,103.85739627489677,(6/7)8:56 Heavy Traffic on CTE (towards AYE) at Ang Mo Kio Ave 1 Exit.,Serangoon,East,Cloudy,Cloudy,2022-07-06T08:56:00
Heavy Traffic,1.3228886904537582,103.8895231790267,(6/7)9:01 Heavy Traffic on PIE (towards Changi Airport) at Paya Lebar Rd Exit.,Geylang,East,Cloudy,Cloudy,2022-07-06T09:01:00
Heavy Traffic,1.2888107012496124,103.84140150434277,(6/7)9:21 Heavy Traffic in CTE Tunnel (towards SLE) at Merchant Road Exit.,City,Central,Cloudy,Cloudy,2022-07-06T09:21:00
Heavy Traffic,1.3245044163647464,103.72486679989096,(6/7)17:27 Heavy Traffic on AYE (towards Tuas) at Jurong Port Rd Exit.,Jurong East,West,Cloudy,Cloudy,2022-07-06T17:27:00
Heavy Traffic,1.330053456774639,103.86288071181622,(6/7)17:24 Heavy Traffic on PIE (towards Tuas) at CTE(SLE) Exit.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T17:24:00
Heavy Traffic,1.3243317757840303,103.87215064332793,(6/7)17:24 Heavy Traffic on PIE (towards Tuas) after KPE Exit.,Geylang,East,Cloudy,Cloudy,2022-07-06T17:24:00
Heavy Traffic,1.3638181121426374,103.8593528911575,(6/7)17:00 Heavy Traffic on CTE (towards SLE) between Braddell Rd Exit and AMK Ave 3 Exit.,Serangoon,East,Cloudy,Cloudy,2022-07-06T17:00:00
Heavy Traffic,1.4234094714829868,103.79411675299983,(6/7)17:31 Heavy Traffic on SLE (towards CTE) at Woodlands Ave 12 Exit.,Woodlands,North,Cloudy,Cloudy,2022-07-06T17:31:00
Heavy Traffic,1.3240347270677835,103.74378699675664,(6/7)17:28 Heavy Traffic on AYE (towards MCE) at Jurong Town Hall Rd Exit.,Jurong East,West,Cloudy,Cloudy,2022-07-06T17:28:00
Heavy Traffic,1.4212369660991853,103.7970004538012,(6/7)17:36 Heavy Traffic on SLE (towards BKE) at Woodlands Ave 12 Exit.,Woodlands,North,Cloudy,Cloudy,2022-07-06T17:36:00
Heavy Traffic,1.4189783872866994,103.77079583771318,(6/7)17:34 Heavy Traffic on BKE (towards Woodlands) at SLE Exit.,Sungei Kadut,North,Cloudy,Cloudy,2022-07-06T17:34:00
Heavy Traffic,1.3911440384436793,103.76609217275278,(6/7)17:39 Heavy Traffic on KJE (towards BKE) at BKE(W`lands) Exit.,Sungei Kadut,North,Cloudy,Cloudy,2022-07-06T17:39:00
Heavy Traffic,1.344649930703026,103.86009218446138,(6/7)17:47 Heavy Traffic on CTE (towards AYE) at PIE(Changi) Exit.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T17:47:00
Heavy Traffic,1.4180769915878764,103.80183571795325,(6/7)17:45 Heavy Traffic on SLE (towards CTE) before Mandai Ave Exit.,Mandai,North,Cloudy,Cloudy,2022-07-06T17:45:00
Heavy Traffic,1.3289316480332567,103.86634155579478,(6/7)17:48 Heavy Traffic on PIE (towards Changi Airport) between Thomson Rd and Kallang Way.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T17:48:00
Heavy Traffic,1.3307336603297386,103.86099536993143,(6/7)18:05 Heavy Traffic on PIE (towards Changi Airport) at Upper Serangoon Rd Exit.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T18:05:00
Heavy Traffic,1.346775828277326,103.8593345403605,(6/7)18:22 Heavy Traffic on CTE (towards AYE) at Braddell Rd Exit.,Serangoon,East,Cloudy,Cloudy,2022-07-06T18:22:00
Heavy Traffic,1.4012204252561486,103.87771895788525,(6/7)18:19 Heavy Traffic on TPE (towards SLE) between Punggol Rd Exit and Jalan Kayu Exit.,Seletar,North,Cloudy,Cloudy,2022-07-06T18:19:00
Heavy Traffic,1.284202508672008,103.80114035533117,(6/7)18:19 Heavy Traffic on AYE (towards MCE) between Buona Vista Exit and Alexandra Rd Exit.,Queenstown,South,Cloudy,Cloudy,2022-07-06T18:19:00
Heavy Traffic,1.0162642548260388,103.5817518079541,(6/7)18:30 Heavy Traffic on KPE (towards TPE) at TPE(SLE) Exit.,Western Islands,West,Cloudy,Cloudy,2022-07-06T18:30:00
Heavy Traffic,1.35780917574093,103.96237429629474,(6/7)18:35 Heavy Traffic on TPE (towards SLE) at Tampines Ave 7 Exit.,Pasir Ris,East,Cloudy,Cloudy,2022-07-06T18:35:00
Heavy Traffic,1.3157627511047612,103.75919724918015,(6/7)18:33 Heavy Traffic on AYE (towards MCE) at Clementi Ave 6 Exit.,Clementi,West,Cloudy,Cloudy,2022-07-06T18:33:00
Heavy Traffic,1.4367542237087505,103.76843440589495,(6/7)18:40 Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.,Woodlands,North,Cloudy,Cloudy,2022-07-06T18:40:00
Heavy Traffic,1.3490475220742357,103.79040304968639,(6/7)18:36 Heavy Traffic on PIE (towards Changi Airport) at BKE Exit.,Bukit Panjang,West,Cloudy,Cloudy,2022-07-06T18:36:00
Heavy Traffic,1.3117191426107464,103.87522193995012,(6/7)18:54 Heavy Traffic on KPE (towards TPE) between ECP Entrance and Nicoll Highway Entrance.,Geylang,East,Cloudy,Cloudy,2022-07-06T18:54:00
Heavy Traffic,1.3224964200687346,103.88842745718127,(6/7)19:34 Heavy Traffic on PIE (towards Changi Airport) between Kallang Way and Paya Lebar Rd.,Geylang,East,Cloudy,Cloudy,2022-07-06T19:34:00
Heavy Traffic,1.3593447809036943,103.85782150636449,(7/7)7:04 Heavy Traffic on CTE (towards AYE) between AMK Ave 5 Exit and AMK Ave 1 Exit.,Serangoon,East,Cloudy,Cloudy,2022-07-07T07:04:00
Heavy Traffic,1.4222109133688259,103.77304222512423,(7/7)7:12 Heavy Traffic on SLE (towards BKE) at BKE(PIE) Exit.,Woodlands,North,Cloudy,Cloudy,2022-07-07T07:12:00
Heavy Traffic,1.3578274390892466,103.90238648037796,(7/7)7:12 Heavy Traffic on KPE (towards ECP) between Buangkok Dr Exit and Tampines Rd Exit.,Paya Lebar,East,Cloudy,Cloudy,2022-07-07T07:12:00
Heavy Traffic,1.3320870441317114,103.7677823753342,(7/7)7:11 Heavy Traffic on PIE (towards Tuas) at Clementi Ave 6 Exit.,Clementi,West,Cloudy,Cloudy,2022-07-07T07:11:00
Heavy Traffic,1.4021593892980235,103.77356437766677,(7/7)7:33 Heavy Traffic on BKE (towards PIE) between SLE Exit and Mandai Rd Exit.,Sungei Kadut,North,Cloudy,Cloudy,2022-07-07T07:33:00
Heavy Traffic,1.3871591076803014,103.91321954867252,(7/7)7:35 Heavy Traffic on TPE (towards PIE) after Punggol Rd Exit.,Punggol,East,Cloudy,Cloudy,2022-07-07T07:35:00
Heavy Traffic,1.365778671043167,103.95255724956208,(7/7)7:47 Heavy Traffic on TPE (towards PIE) between Pasir Ris Dr 12 Exit and Pasir Ris Dr 8 Exit.,Pasir Ris,East,Cloudy,Cloudy,2022-07-07T07:47:00
Heavy Traffic,1.2877623453767402,103.79433125144101,(7/7)7:54 Heavy Traffic on AYE (towards Tuas) at Normanton Park Exit.,Queenstown,South,Cloudy,Cloudy,2022-07-07T07:54:00
Heavy Traffic,1.3598020303921265,103.78125806105078,(7/7)8:08 Heavy Traffic on BKE (towards PIE) between KJE Exit and Dairy Farm Rd Entrance.,Bukit Panjang,West,Cloudy,Cloudy,2022-07-07T08:08:00
Heavy Traffic,1.3542645605006118,103.96396266784814,(7/7)8:21 Heavy Traffic on TPE (towards PIE) at Upper Changi Rd North Exit.,Tampines,East,Cloudy,Cloudy,2022-07-07T08:21:00
Heavy Traffic,1.36190697262503,103.96023456299868,(7/7)8:20 Heavy Traffic on TPE (towards PIE) at Loyang Ave Exit.,Pasir Ris,East,Cloudy,Cloudy,2022-07-07T08:20:00
Heavy Traffic,1.35848902927314,103.96188064339081,(7/7)8:19 Heavy Traffic on TPE (towards SLE) at Tampines Ave 7 Exit.,Pasir Ris,East,Cloudy,Cloudy,2022-07-07T08:19:00
Heavy Traffic,1.2956752588107077,103.88295060194505,(7/7)8:43 Heavy Traffic on ECP (towards City) between Still Rd Sth Exit and Fort Rd Exit.,Marine Parade,East,Cloudy,Partly Cloudy (Day),2022-07-07T08:43:00
Heavy Traffic,1.3195880166690193,103.87684984259342,(7/7)9:10 Heavy Traffic on PIE (towards Tuas) at KPE(ECP) Exit.,Geylang,East,Cloudy,Partly Cloudy (Day),2022-07-07T09:10:00
Heavy Traffic,1.4238705288050326,103.77443770191137,(7/7)7:12 Heavy Traffic on SLE (towards BKE) between Woodlands Ave 12 Exit and BKE Exit.,Woodlands,North,Cloudy,Cloudy,2022-07-07T07:12:00
Heavy Traffic,1.324466337035663,103.87209540235001,(7/7)11:52 Heavy Traffic on PIE (towards Tuas) between Paya Lebar Rd and KPE Exit.,Geylang,East,Sunny,Fair (Day),2022-07-07T11:52:00
Heavy Traffic,1.3122447768121481,103.84510691772181,(7/7)15:58 Heavy Traffic in CTE Tunnel (towards AYE) at Bukit Timah Rd Exit.,Kallang,East,unknown,Fair & Warm,2022-07-07T15:58:00
Heavy Traffic,1.4216989880230142,103.79591197569233,(7/7)16:58 Heavy Traffic on SLE (towards BKE) at Woodlands Ave 12 Exit.,Woodlands,North,unknown,Fair & Warm,2022-07-07T16:58:00
Heavy Traffic,1.424012367349585,103.79266586924018,(7/7)16:58 Heavy Traffic on SLE (towards CTE) at Woodlands Ave 12 Exit.,Woodlands,North,unknown,Fair & Warm,2022-07-07T16:58:00
Heavy Traffic,1.3209859390716363,103.87467813800956,(7/7)17:23 Heavy Traffic on PIE (towards Tuas) after KPE Exit.,Geylang,East,unknown,Fair & Warm,2022-07-07T17:23:00
Heavy Traffic,1.3244616571269197,103.89811541411775,(7/7)17:31 Heavy Traffic on PIE (towards Changi Airport) between Paya Lebar Rd and Paya Lebar.,Geylang,East,unknown,Fair & Warm,2022-07-07T17:31:00
Heavy Traffic,1.2838738960167044,103.80550823947897,(7/7)17:30 Heavy Traffic on AYE (towards MCE) between Portsdown Ave Exit and Alexandra Rd Exit.,Bukit Merah,South,unknown,Fair & Warm,2022-07-07T17:30:00
Heavy Traffic,1.3115148555858909,103.84498695800731,(7/7)17:52 Heavy Traffic in CTE Tunnel (towards AYE) at Bukit Timah Rd Exit.,Kallang,East,unknown,Fair & Warm,2022-07-07T17:52:00
Heavy Traffic,1.3481582835885173,103.73507889512398,(7/7)18:01 Heavy Traffic on PIE (towards Changi Airport) at Jurong Town Hall Exit.,Bukit Batok,West,unknown,Fair & Warm,2022-07-07T18:01:00
Heavy Traffic,1.3117191426107464,103.87522193995012,(7/7)18:15 Heavy Traffic on KPE (towards TPE) between ECP Entrance and Nicoll Highway Entrance.,Geylang,East,unknown,Fair & Warm,2022-07-07T18:15:00
Heavy Traffic,1.3209859390716363,103.87467813800956,(7/7)17:23 Heavy Traffic on PIE (towards Tuas) between Jalan Eunos and KPE Exit.,Geylang,East,unknown,Fair & Warm,2022-07-07T17:23:00
Heavy Traffic,1.3840759105090608,103.73841733831404,(7/7)18:32 Heavy Traffic on KJE (towards BKE) at Choa Chu Kang Way Exit.,Choa Chu Kang,West,unknown,Fair & Warm,2022-07-07T18:32:00
Heavy Traffic,1.3106442279887969,103.8440284720038,(7/7)18:38 Heavy Traffic on Bukit Timah Road (towards City) between Chancery Lane and Newton Circus.,Kallang,East,unknown,Fair & Warm,2022-07-07T18:38:00
Heavy Traffic,1.3209859390716363,103.87467813800956,(7/7)17:23 Heavy Traffic on PIE (towards Tuas) between Paya Lebar Rd and KPE Exit.,Geylang,East,unknown,Fair & Warm,2022-07-07T17:23:00
Heavy Traffic,1.4288784762815707,103.7620376305746,(7/7)19:11 Heavy Traffic on Woodlands Road (towards Woodlands Ind Park D St 2) after Jalan Nam Seng.,Sungei Kadut,North,unknown,Fair & Warm,2022-07-07T19:11:00
Heavy Traffic,1.3636490055705512,103.85930715223172,(7/7)21:57 Heavy Traffic on CTE (towards SLE) between Braddell Rd Exit and AMK Ave 3 Exit.,Serangoon,East,Cloudy,Partly Cloudy (Night),2022-07-07T21:57:00
Heavy Traffic,1.3953655442705417,103.77413307180971,(8/7)7:02 Heavy Traffic on BKE (towards PIE) at KJE(PIE) Exit.,Sungei Kadut,North,Rain,Showers,2022-07-08T07:02:00
Heavy Traffic,1.3257317305689111,103.665622817694,(8/7)7:00 Heavy Traffic on PIE (towards Tuas) at AYE Exit.,Pioneer,West,Rain,Showers,2022-07-08T07:00:00
Heavy Traffic,1.3566571930076425,103.9017335859234,(8/7)7:07 Heavy Traffic on KPE (towards ECP) between Buangkok Dr Exit and Tampines Rd Exit.,Paya Lebar,East,Rain,Showers,2022-07-08T07:07:00
Heavy Traffic,1.422412597240535,103.77311053068868,(8/7)7:04 Heavy Traffic on SLE (towards BKE) at BKE(PIE) Exit.,Woodlands,North,Rain,Showers,2022-07-08T07:04:00
Heavy Traffic,1.3552877058121457,103.78508002256385,(8/7)7:08 Heavy Traffic on BKE (towards PIE) between Bukit Panjang Rd Exit and Dairy Farm Rd Entrance.,Bukit Panjang,West,Rain,Showers,2022-07-08T07:08:00
Heavy Traffic,1.3269687463515867,103.82620355382984,(8/7)7:20 Heavy Traffic on PIE (towards Changi Airport) at Stevens Rd Exit.,Novena,Central,Rain,Showers,2022-07-08T07:20:00
Heavy Traffic,1.311282352882852,103.84489736261114,(8/7)7:18 Heavy Traffic in CTE Tunnel (towards AYE) at Bukit Timah Rd Exit.,Kallang,East,Rain,Showers,2022-07-08T07:18:00
Heavy Traffic,1.3179949176771957,103.83494262095338,(8/7)7:17 Heavy Traffic on Dunearn Road (towards City) after Wayang Satu Flyover.,Novena,Central,Rain,Showers,2022-07-08T07:17:00
Heavy Traffic,1.3276395685048548,103.8057908030078,(8/7)7:25 Heavy Traffic on Dunearn Road (towards City) between Swiss Club Road and Eng Neo Avenue.,Bukit Timah,South,Rain,Showers,2022-07-08T07:25:00
Heavy Traffic,1.401308848989292,103.88456563251509,(8/7)7:36 Heavy Traffic on TPE (towards SLE) between Punggol Rd Exit and Jalan Kayu Exit.,Seletar,North,Rain,Showers,2022-07-08T07:36:00
Heavy Traffic,1.3856448506751473,103.91454633434479,(8/7)7:37 Heavy Traffic on TPE (towards PIE) between Punggol Rd Exit and KPE Exit.,Punggol,East,Rain,Showers,2022-07-08T07:37:00
Heavy Traffic,1.3268151930198504,103.82978483343014,(8/7)7:46 Heavy Traffic on PIE (towards Tuas) after Thomson Rd Exit.,Novena,Central,Rain,Showers,2022-07-08T07:46:00
Heavy Traffic,1.3278602557632648,103.82488987291104,(8/7)7:20 Heavy Traffic on PIE (towards Changi Airport) after Lornie Rd.,Novena,Central,Rain,Showers,2022-07-08T07:20:00
Heavy Traffic,1.305819065672745,103.7684540971568,(8/7)7:52 Heavy Traffic on AYE (towards MCE) between Clementi Ave 6 Exit and Clementi Ave 2 Exit.,Clementi,West,Rain,Showers,2022-07-08T07:52:00
Heavy Traffic,1.358319453336655,103.96203086531375,(8/7)8:12 Heavy Traffic on TPE (towards SLE) at Tampines Ave 7 Exit.,Pasir Ris,East,Rain,Showers,2022-07-08T08:12:00
Heavy Traffic,1.355927351754001,103.96321908831958,(8/7)8:13 Heavy Traffic on TPE (towards PIE) between Pasir Ris Dr 12 Exit and PIE Exit.,Pasir Ris,East,Rain,Showers,2022-07-08T08:13:00
Heavy Traffic,1.3263847063111214,103.73212020567598,(8/7)8:17 Heavy Traffic on AYE (towards Tuas) between Clementi Ave 2 Exit and Penjuru Rd Exit.,Jurong East,West,Rain,Showers,2022-07-08T08:17:00
Heavy Traffic,1.348470736619946,103.7898930448681,(8/7)8:45 Heavy Traffic on PIE (towards Changi Airport) between Bukit Timah Rd exit and BKE.,Bukit Panjang,West,Rain,Showers,2022-07-08T08:45:00
Heavy Traffic,1.3547395346396924,103.963736857587,(8/7)8:52 Heavy Traffic on TPE (towards PIE) at Upper Changi Rd North Exit.,Pasir Ris,East,Rain,Showers,2022-07-08T08:52:00
Heavy Traffic,1.3979701777481834,103.77389588921943,(8/7)7:59 Heavy Traffic on BKE (towards PIE) before KJE Exit,Sungei Kadut,North,Rain,Showers,2022-07-08T07:59:00
Heavy Traffic,1.3448677861269644,103.89923012722937,(8/7)10:14 Heavy Traffic on KPE (towards ECP) at Airport Road Exit.,Paya Lebar,East,Cloudy,Cloudy,2022-07-08T10:14:00
Heavy Traffic,1.3445819939713999,103.8601718141926,(8/7)10:13 Heavy Traffic on CTE (towards AYE) at PIE(Changi) Exit.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-08T10:13:00
Heavy Traffic,1.311522452392335,103.84495640737353,(8/7)13:48 Heavy Traffic in CTE Tunnel (towards AYE) at Bukit Timah Rd Exit.,Kallang,East,Cloudy,Partly Cloudy (Day),2022-07-08T13:48:00
Heavy Traffic,1.3129474404053787,103.84524161359225,(8/7)15:52 Heavy Traffic in CTE Tunnel (towards AYE) at Bukit Timah Rd Exit.,Kallang,East,Cloudy,Partly Cloudy (Day),2022-07-08T15:52:00
Heavy Traffic,1.4240112737935964,103.79270667426385,(8/7)17:04 Heavy Traffic on SLE (towards CTE) at Woodlands Ave 12 Exit.,Woodlands,North,Cloudy,Partly Cloudy (Day),2022-07-08T17:04:00
Heavy Traffic,1.4211667723432613,103.79718763112517,(8/7)17:12 Heavy Traffic on SLE (towards BKE) at Woodlands Ave 12 Exit.,Mandai,North,Cloudy,Partly Cloudy (Day),2022-07-08T17:12:00
Heavy Traffic,1.302713809072647,103.77410783359461,(8/7)17:18 Heavy Traffic on AYE (towards MCE) between Clementi Ave 6 Exit and Clementi Rd Exit.,Queenstown,South,Cloudy,Partly Cloudy (Day),2022-07-08T17:18:00
Heavy Traffic,1.3612217191942488,103.85844566099499,(8/7)17:23 Heavy Traffic on CTE (towards SLE) between Braddell Rd Exit and AMK Ave 1 Exit.,Serangoon,East,Cloudy,Partly Cloudy (Day),2022-07-08T17:23:00
Heavy Traffic,1.320495056442027,103.87537209065177,(8/7)17:23 Heavy Traffic on PIE (towards Tuas) between Paya Lebar Rd and KPE Exit.,Geylang,East,Cloudy,Partly Cloudy (Day),2022-07-08T17:23:00
Heavy Traffic,1.302713809072647,103.77410783359461,(8/7)17:18 Heavy Traffic on AYE (towards MCE) between Yuan Ching and Clementi Rd Exit.,Queenstown,South,Cloudy,Partly Cloudy (Day),2022-07-08T17:18:00
Heavy Traffic,1.330478649701141,103.81997053105907,(8/7)17:30 Heavy Traffic on PIE (towards Tuas) between Thomson Rd Exit and Stevens Rd Exit.,Novena,Central,Cloudy,Partly Cloudy (Day),2022-07-08T17:30:00
Heavy Traffic,1.4165660224626948,103.8036265252883,(8/7)17:34 Heavy Traffic on SLE (towards CTE) between Woodlands Ave 12 Exit and Mandai Ave Exit.,Mandai,North,Cloudy,Partly Cloudy (Day),2022-07-08T17:34:00
Heavy Traffic,1.4188080103727845,103.77098526472273,(8/7)17:38 Heavy Traffic on BKE (towards Woodlands) at SLE Exit.,Sungei Kadut,North,Cloudy,Partly Cloudy (Day),2022-07-08T17:38:00
Heavy Traffic,1.3239633931270987,103.74434842388251,(8/7)17:47 Heavy Traffic on AYE (towards MCE) at Jurong Town Hall Rd Exit.,Jurong East,West,Cloudy,Partly Cloudy (Day),2022-07-08T17:47:00
Heavy Traffic,1.3117191426107464,103.87522193995012,(8/7)18:07 Heavy Traffic on KPE (towards TPE) between ECP Entrance and Nicoll Highway Entrance.,Geylang,East,Cloudy,Partly Cloudy (Night),2022-07-08T18:07:00
Heavy Traffic,1.286795341438783,103.79655353568633,(8/7)18:15 Heavy Traffic on AYE (towards MCE) between Clementi Ave 2 Exit and Portsdown Ave Exit.,Queenstown,South,Cloudy,Partly Cloudy (Night),2022-07-08T18:15:00
Heavy Traffic,1.3482111426789964,103.78960190635998,(8/7)18:13 Heavy Traffic on PIE (towards Changi Airport) between Bukit Timah Rd exit and BKE.,Bukit Panjang,West,Cloudy,Partly Cloudy (Night),2022-07-08T18:13:00
Heavy Traffic,1.2906376029833764,103.8430329922695,(8/7)18:31 Heavy Traffic in CTE Tunnel (towards AYE) at Havelock Road Exit.,City,Central,Cloudy,Partly Cloudy (Night),2022-07-08T18:31:00
Heavy Traffic,1.3069970179412715,103.84088578673453,(8/7)18:28 Heavy Traffic in CTE Tunnel (towards AYE) at Cairnhill Circle Exit.,City,Central,Cloudy,Partly Cloudy (Night),2022-07-08T18:28:00
Heavy Traffic,1.4233825944418703,103.79415457512762,(8/7)19:41 Heavy Traffic on SLE (towards CTE) at Woodlands Ave 12 Exit.,Woodlands,North,Cloudy,Partly Cloudy (Night),2022-07-08T19:41:00
Heavy Traffic,1.436683215480078,103.76851733027262,(8/7)21:55 Heavy Traffic on BKE (towards Woodlands) before Woodlands Checkpoint.,Woodlands,North,Cloudy,Partly Cloudy (Night),2022-07-08T21:55:00
Heavy Traffic,1.3474952299653302,103.63729880731717,(9/7)5:52 Heavy Traffic on AYE (towards Tuas) after Tuas West Dr Exit.,Jalan Bahar,West,Cloudy,Partly Cloudy (Night),2022-07-09T05:52:00
Heavy Traffic,1.3474952299653302,103.63729880731717,(9/7)5:52 Heavy Traffic on AYE (towards Tuas) between Tuas West Rd Entrance and Tuas West Dr Exit.,Jalan Bahar,West,Cloudy,Partly Cloudy (Night),2022-07-09T05:52:00
